EMD_KOR_NM,제주도민매출금액비율,EMD_CD
건입동,3098.0,50110107
구좌읍,10158.0,50110256
남원읍,5289.0,50130253
노형동,18107.0,50110122
대륜동,4945.0,
대정읍,8322.0,50130250
대천동,3793.0,
도두동,2148.0,
동홍동,5561.0,50130105
봉개동,1308.0,50110116
삼도1동,3852.0,
삼도2동,3563.0,
삼양동,4569.0,
서홍동,2430.0,50130106
성산읍,9246.0,50130259
송산동,2438.0,
아라동,9045.0,
안덕면,6974.0,50130310
애월읍,13191.0,50110253
연동,20889.0,50110137
영천동,1301.0,
예래동,2586.0,
오라동,2838.0,
외도동,5691.0,
용담1동,2621.0,
용담2동,4931.0,
우도면,1987.0,50110330
이도1동,3812.0,
이도2동,21668.0,
이호동,1036.0,
일도1동,2997.0,
일도2동,8555.0,
정방동,3330.0,
조천읍,10150.0,50110259
중문동,5016.0,50130112
중앙동,4849.0,
천지동,3566.0,
추자면,228.0,50110320
표선면,6118.0,50130320
한경면,4048.0,50110310
한림읍,10892.0,50110250
화북동,4366.0,
효돈동,1643.0,
일도일동,,50110101
이호이동,,50110126
외도이동,,50110124
내도동,,50110140
도두이동,,50110128
월평동,,50130115
용강동,,50110132
상효동,,50130107
신효동,,50130109
보목동,,50130110
상예동,,50130120
하예동,,50130121
색달동,,50130119
회수동,,50130113
하원동,,50130118
대포동,,50130114
삼양삼동,,50110115
영남동,,50130122
도순동,,50130117
일도이동,,50110102
이도일동,,50110103
이도이동,,50110104
삼도일동,,50110105
삼도이동,,50110106
용담일동,,50110108
용담이동,,50110109
용담삼동,,50110110
화북일동,,50110111
화북이동,,50110112
삼양일동,,50110113
삼양이동,,50110114
아라일동,,50110117
아라이동,,50110118
오라일동,,50110119
오라이동,,50110120
외도일동,,50110123
도두일동,,50110127
도남동,,50110129
도련일동,,50110130
도련이동,,50110131
회천동,,50110133
오등동,,50110134
영평동,,50110136
도평동,,50110138
해안동,,50110139
서귀동,,50130101
법환동,,50130102
서호동,,50130103
호근동,,50130104
하효동,,50130108
토평동,,50130111
강정동,,50130116
